,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
32,Vila Velha,0,BR,1548284400,74,-3.71,-38.6,82.4,4.7
33,Hobart,20,AU,1548284400,48,-42.88,147.33,66.2,4.7
34,Port Alfred,80,ZA,1548286815,99,-33.59,26.89,66.68,13.22
35,Bethel,90,US,1548284880,96,60.79,-161.76,33.08,21.92
36,Ferme-Neuve,92,CA,1548286817,95,46.7,-75.45,28.61,8.3
37,Merauke,80,ID,1548286819,93,-8.49,140.4,82.97,10.87
38,Birao,0,CF,1548286820,36,10.3,22.78,63.84,5.39
39,Saint-Georges,92,CA,1548286821,88,46.12,-70.67,22.49,4.16
40,Khatanga,36,RU,1548286822,63,71.98,102.47,-34.31,3.38
41,Kpandu,24,GH,1548286823,73,7.0,0.29,80.85,9.86
42,Vaini,0,IN,1548286824,85,15.34,74.49,57.41,2.82
43,Souillac,0,FR,1548284400,74,45.6,-0.6,37.4,9.17
44,Saldanha,80,PT,1548286827,85,41.42,-6.55,47.15,10.42
45,Tasiilaq,48,GL,1548283800,63,65.61,-37.64,28.4,14.99
46,Georgetown,20,GY,1548284400,78,6.8,-58.16,77.0,9.17
47,Thompson,20,CA,1548284400,62,55.74,-97.86,-16.61,10.29
48,Kaitangata,88,NZ,1548286832,82,-46.28,169.85,51.87,18.25
49,Butaritari,12,KI,1548286833,100,3.07,172.79,82.25,11.54
50,Hasaki,20,JP,1548284400,51,35.73,140.83,37.4,8.05
51,Kapaa,1,US,1548284160,66,22.08,-159.32,80.06,9.17
52,Nikolskoye,90,RU,1548284400,92,59.7,30.79,23.0,11.18
53,Bolobo,88,CD,1548286838,86,-2.17,16.23,77.52,4.05
54,Gazanjyk,0,TM,1548286839,79,39.24,55.52,27.53,3.15
55,Mabaruma,88,GY,1548286840,82,8.2,-59.78,77.39,8.97
56,Searcy,75,US,1548284160,69,35.25,-91.74,34.34,6.93
57,Uvat,44,RU,1548286843,78,59.14,68.9,4.76,3.38
58,Hermanus,64,ZA,1548286844,88,-34.42,19.24,57.23,4.05
59,Kiruna,48,SE,1548285600,75,67.86,20.23,-13.01,2.48
60,Voznesenye,88,RU,1548286846,90,61.02,35.48,12.86,6.17
61,Klaipeda,0,LT,1548283800,92,55.72,21.12,15.8,3.36
62,Mezen,76,RU,1548286848,73,65.85,44.24,0.62,5.17
63,Vestmannaeyjar,64,IS,1548286850,100,63.44,-20.27,27.17,8.19
64,Barrow,0,AR,1548286851,46,-38.31,-60.23,69.38,11.77
65,Hualmay,64,PE,1548286852,77,-11.1,-77.61,71.85,4.72
66,Atuona,44,PF,1548286853,100,-9.8,-139.03,79.77,16.24
67,Tessalit,0,ML,1548286854,39,20.2,1.01,38.82,3.15
68,Dingle,48,PH,1548286856,90,11.0,122.67,76.8,11.65
69,Novopokrovka,8,RU,1548286857,66,45.85,134.51,-0.74,2.82
70,Tuktoyaktuk,20,CA,1548284400,75,69.44,-133.03,-18.41,18.34
71,Cape Town,0,ZA,1548284400,67,-33.93,18.42,62.6,16.11
72,Sayyan,0,YE,1548286860,75,15.17,44.32,37.29,1.92
73,Narsaq,0,GL,1548283800,62,60.91,-46.05,23.0,4.7
74,Ambilobe,12,MG,1548286863,98,-13.19,49.05,70.28,2.82
75,Corning,90,US,1548284580,75,42.14,-77.05,41.0,3.36
76,Qaanaaq,0,GL,1548286865,100,77.48,-69.36,-21.89,7.74
77,Inhambane,92,MZ,1548286866,100,-23.87,35.38,78.2,16.46
78,Lavrentiya,80,RU,1548286867,95,65.58,-170.99,12.72,33.35
79,Cherskiy,48,RU,1548286869,82,68.75,161.3,-18.51,2.37
80,Moram,0,NG,1548286870,55,10.55,12.13,64.25,2.04
81,Iqaluit,40,CA,1548284400,74,63.75,-68.52,-25.61,3.36
82,Naze,20,NG,1548284400,100,5.43,7.07,75.2,3.83
83,Port Blair,0,IN,1548286873,99,11.67,92.75,82.7,13.44
84,Palembang,20,ID,1548284400,94,-2.99,104.76,77.0,3.36
85,Kavieng,64,PG,1548286876,100,-2.57,150.8,83.64,6.96
86,Mahebourg,75,MU,1548284400,88,-20.41,57.7,77.0,3.36
87,Husavik,88,CA,1548286878,89,50.56,-96.99,9.39,21.5
88,Panzhihua,0,CN,1548286879,75,26.59,101.72,32.66,2.37
89,Dikson,48,RU,1548286880,100,73.51,80.55,0.89,2.93
90,Coquimbo,20,CL,1548284400,72,-29.95,-71.34,64.4,10.29
91,Pitsunda,75,GE,1548284400,61,43.16,40.34,46.4,8.95
92,Port Elizabeth,1,US,1548284160,70,39.31,-74.98,51.44,6.93
93,Evensk,0,RU,1548286885,98,61.92,159.24,15.02,13.56
94,Zhezkazgan,90,KZ,1548284400,92,47.8,67.71,19.4,4.47
95,Upernavik,76,GL,1548286887,100,72.79,-56.15,3.86,12.88
96,Marsabit,0,KE,1548286889,79,2.34,37.99,66.72,4.38
97,Gorontalo,76,ID,1548286890,88,0.54,123.06,76.76,2.26
98,Los Llanos de Aridane,36,ES,1548284400,72,28.66,-17.92,60.8,12.75
99,Camabatela,44,AO,1548286892,78,-8.19,15.37,63.44,3.04
100,Minab,12,IR,1548284400,76,27.15,57.07,57.2,4.05
101,Le Vauclin,75,MQ,1548284400,69,14.55,-60.84,78.8,14.99
102,Hilo,1,US,1548283980,60,19.71,-155.08,80.96,13.87
103,Makakilo City,1,US,1548284220,60,21.35,-158.09,82.04,8.05
104,Vetrni,75,CZ,1548285600,85,48.77,14.29,24.8,3.36
105,Yulara,0,AU,1548284400,23,-25.24,130.99,96.8,5.82
106,Tautira,20,PF,1548286200,59,-17.73,-149.15,91.4,3.36
107,Severo-Kurilsk,80,RU,1548286901,100,50.68,156.12,30.27,6.51
108,Gorele,0,TR,1548285600,26,41.03,39.0,59.0,18.34
109,Kawalu,8,ID,1548286903,94,-7.38,108.21,67.94,2.71
110,Semey,64,KZ,1548286904,84,50.41,80.25,10.88,5.39
111,Saint Anthony,90,US,1548285480,85,43.97,-111.68,30.92,10.29
112,Isangel,44,VU,1548286907,100,-19.55,169.27,79.64,12.55
113,Opportunity,90,US,1548284940,81,46.11,-112.83,30.92,10.29
114,Zhigansk,56,RU,1548286909,50,66.77,123.37,-29.85,7.4
115,Port Hedland,40,AU,1548284400,66,-20.31,118.58,87.8,8.05
116,Norman Wells,40,CA,1548284400,82,65.28,-126.83,-16.61,2.24
117,Puqi,0,CN,1548286913,100,29.72,113.88,35.45,2.48
118,Ilulissat,20,GL,1548283800,54,69.22,-51.1,1.4,0.92
119,Magadi,40,IN,1548284400,100,12.96,77.22,64.4,5.82
120,Ostrovnoy,76,RU,1548286916,87,68.05,39.51,16.01,8.08
121,Qinhuangdao,0,CN,1548286918,65,39.94,119.59,5.75,1.92
122,Castro,0,CL,1548284400,59,-42.48,-73.76,60.8,8.05
123,Dumbea,90,NC,1548286200,51,-22.15,166.45,86.0,9.17
124,Mount Gambier,0,AU,1548284400,32,-37.83,140.78,82.4,14.99
125,Comodoro Rivadavia,0,AR,1548284400,43,-45.87,-67.48,71.6,11.41
126,Samarai,92,PG,1548286923,100,-10.62,150.67,82.65,12.44
127,Marawi,88,PH,1548286925,90,8.0,124.29,73.02,2.71
128,Carnarvon,0,ZA,1548286926,39,-30.97,22.13,61.55,14.79
129,Pisco,20,PE,1548284400,30,-13.71,-76.2,71.6,18.34
130,Riyadh,0,SA,1548284400,30,24.63,46.72,59.0,2.24
131,Saint-Philippe,90,CA,1548285240,100,45.36,-73.48,30.92,5.82
132,Zhangjiakou,12,CN,1548286931,68,40.77,114.88,7.55,2.37
133,Najran,5,SA,1548284400,83,17.54,44.22,57.2,1.36
134,Anchorage,75,US,1548284280,95,61.22,-149.89,39.92,13.87
135,Rocha,44,UY,1548286934,76,-34.48,-54.34,69.47,12.33
136,Virginia Beach,75,US,1548285300,74,36.85,-75.98,60.08,13.87
137,Anqiu,0,CN,1548286936,75,36.48,119.21,21.72,6.51
138,Beloha,44,MG,1548286938,92,-25.17,45.06,75.14,10.98
139,Batagay,32,RU,1548286939,0,67.65,134.64,-51.14,2.93
140,Victoria,75,BN,1548284400,100,5.28,115.24,77.0,1.12
141,Raudeberg,92,NO,1548285600,74,61.99,5.14,35.6,13.87
142,Quatre Cocos,75,MU,1548284400,88,-20.21,57.76,77.0,3.36
143,Qiongshan,0,CN,1548284400,88,20.01,110.35,62.6,6.71
144,Mapiripan,68,CO,1548286945,40,2.89,-72.13,86.34,6.4
145,Okhotsk,0,RU,1548286946,100,59.36,143.24,-0.15,3.94
146,Tias,40,ES,1548284400,77,28.96,-13.65,62.6,10.29
147,Guerrero Negro,0,MX,1548286949,32,27.97,-114.04,71.63,12.1
148,Worland,90,US,1548285300,74,44.02,-107.96,27.32,4.16
149,San Patricio,88,PY,1548286951,93,-26.98,-56.83,75.86,5.95
150,Illapel,0,CL,1548286952,83,-31.63,-71.17,64.74,2.71
151,Izhma,56,RU,1548286953,73,65.01,53.91,-6.5,5.73
152,Nabire,92,ID,1548286954,100,-3.36,135.5,69.92,2.71
153,Lebu,0,ET,1548286955,71,8.96,38.73,39.05,2.59
154,San Cristobal,20,EC,1548284400,35,-0.39,-78.55,73.4,10.29
155,Sungaipenuh,80,ID,1548286958,97,-2.08,101.38,65.51,1.14
156,Morales,12,CO,1548286959,45,8.28,-73.87,87.29,7.18
157,Bhadasar,0,IN,1548286960,83,28.3,74.31,42.87,7.18
158,Svetlogorsk,0,RU,1548284400,70,53.14,59.15,-0.41,6.71
159,Tarko-Sale,64,RU,1548286962,77,64.92,77.78,5.12,7.18
160,Ulyanovsk,44,RU,1548284400,75,54.31,48.36,-13.01,2.24
161,Esperance,20,TT,1548284400,78,10.24,-61.45,78.8,8.05
162,Sovetskaya,0,RU,1548286966,89,44.78,41.17,24.38,8.52
163,Yumen,76,CN,1548286967,70,40.29,97.04,0.57,3.38
164,Gidole,0,ET,1548286968,56,5.65,37.37,61.05,2.71
165,Fortuna,40,ES,1548284400,36,38.18,-1.13,64.4,12.75
166,Hami,64,CN,1548286970,74,42.84,93.51,16.01,6.29
167,Longyearbyen,20,NO,1548283800,78,78.22,15.63,8.6,2.24
168,Port Macquarie,90,AU,1548284400,74,-31.43,152.91,80.6,6.93
169,At-Bashi,80,KG,1548286974,76,41.17,75.81,3.5,1.36
170,Qaqortoq,0,GL,1548283800,62,60.72,-46.03,23.0,4.7
171,Chinsali,88,ZM,1548286976,94,-10.55,32.07,64.25,5.61
172,Ahtopol,40,BG,1548284400,81,42.1,27.94,50.0,6.93
173,Sabya,0,YE,1548286978,93,16.19,43.1,63.3,1.92
174,Lakhdenpokhya,0,RU,1548286980,72,61.52,30.2,1.02,9.31
175,Torbay,20,CA,1548284400,79,47.66,-52.73,23.0,6.93
176,Avarua,40,CK,1548284400,88,-21.21,-159.78,82.4,28.54
177,Poum,92,MK,1548286983,99,41.28,20.71,32.12,2.15
178,Kathmandu,75,NP,1548283800,100,27.71,85.32,42.8,6.93
179,Acapulco,20,MX,1548283320,62,16.86,-99.88,86.0,2.24
180,Santo Antonio do Leverger,0,BR,1548284400,94,-15.87,-56.08,78.8,3.36
181,Chokurdakh,44,RU,1548286988,56,70.62,147.9,-31.97,3.6
182,Smidovich,20,RU,1548286989,60,48.6,133.81,-6.86,4.16
183,Buala,88,SB,1548286990,84,-8.15,159.59,85.8,5.39
184,Talnakh,56,RU,1548286991,89,69.49,88.39,-6.77,2.93
185,Cabo San Lucas,20,MX,1548283560,60,22.89,-109.91,75.2,16.11
186,Puteyets,64,RU,1548286994,71,65.17,57.09,-5.78,8.41
187,Nemuro,48,JP,1548286995,100,43.32,145.57,30.72,31.68
188,Ancud,0,CL,1548284400,59,-41.87,-73.83,60.8,8.05
189,Padang,20,ID,1548284400,100,-0.92,100.36,73.4,1.12
190,Palmer,0,AU,1548284400,9,-34.85,139.16,100.4,20.8
191,Kuryk,20,KZ,1548287000,100,43.18,51.68,28.07,11.65
192,Gouyave,20,GD,1548284400,74,12.16,-61.73,78.8,16.11
193,Te Anau,76,NZ,1548287002,68,-45.41,167.72,51.29,5.84
194,Coihaique,20,CL,1548284400,45,-45.58,-72.07,64.4,8.05
195,Varkaus,0,FI,1548285600,84,62.32,27.87,-0.41,3.36
196,Egvekinot,44,RU,1548287005,66,66.32,-179.17,-5.46,12.33
197,Fuerte Olimpo,0,BR,1548287006,47,-21.04,-57.87,92.69,5.5
198,Dong Hoi,92,VN,1548287008,100,17.48,106.6,66.54,4.05
199,Pevek,64,RU,1548287009,100,69.7,170.27,-6.5,14.0
200,Clyde River,5,CA,1548284400,73,70.47,-68.59,-32.81,5.82
201,Eureka,90,US,1548286500,100,40.8,-124.16,53.6,3.36
202,Khash,0,IR,1548287012,65,28.22,61.21,20.82,2.71
203,Mehamn,48,NO,1548287013,89,71.03,27.85,24.83,10.42
204,Ust-Ilimsk,32,RU,1548287015,87,57.96,102.73,8.22,4.16
205,Dunedin,12,NZ,1548287015,71,-45.87,170.5,55.61,14.23
206,Mount Isa,0,AU,1548284400,41,-20.73,139.49,93.2,6.93
207,Sept-Iles,90,CA,1548284400,85,50.2,-66.38,10.4,8.05
208,Gornopravdinsk,56,RU,1548287019,73,60.06,69.92,6.29,3.71
209,Kodiak,1,US,1548286500,62,39.95,-94.76,23.0,6.93
210,Shimoda,75,JP,1548284400,100,34.7,138.93,46.4,11.41
211,Ketchikan,90,US,1548285660,95,55.34,-131.65,41.0,6.93
212,Kiama,75,AU,1548284400,69,-34.67,150.86,75.2,9.17
213,Balod,8,IN,1548287025,92,20.73,81.21,58.4,6.17
214,Chunskiy,0,RU,1548287026,81,56.08,99.63,7.82,4.94
215,Nanakuli,75,US,1548284220,59,21.39,-158.15,82.04,4.7
216,Cidreira,12,BR,1548287028,78,-30.17,-50.22,77.75,4.16
217,Prado,56,BR,1548287029,93,-17.34,-39.22,81.39,13.67
218,Yuzhnyy,80,RU,1548287030,81,53.54,39.45,1.16,9.75
219,Picos,8,BR,1548287032,66,-7.08,-41.47,78.42,4.16
220,Touros,20,BR,1548284400,83,-5.2,-35.46,80.6,11.41
221,Gbadolite,0,CD,1548287034,84,4.28,21.0,70.77,2.37
222,Okha,80,RU,1548287035,92,53.59,142.95,24.2,9.42
223,Byron Bay,75,AU,1548284400,74,-28.65,153.62,80.6,12.75
224,Kampene,88,CD,1548287037,100,-3.59,26.67,67.58,3.15
225,Yellowknife,20,CA,1548284400,66,62.45,-114.38,-29.21,4.7
226,Santa Isabel do Rio Negro,32,BR,1548287039,94,-0.41,-65.02,78.11,1.7
227,Fallon,90,US,1548284160,80,46.84,-105.12,24.08,20.8
228,Buchanan,20,LR,1548284400,94,5.88,-10.05,77.0,7.4
229,Codrington,90,AU,1548284400,74,-28.95,153.24,80.6,8.05
230,Guaratingueta,0,BR,1548287044,89,-22.82,-45.19,67.8,3.6
231,Tuatapere,88,NZ,1548287045,100,-46.13,167.69,52.1,17.13
232,Sola,75,NO,1548285600,64,58.89,5.65,35.6,13.87
233,Luderitz,0,NA,1548287048,67,-26.65,15.16,62.54,25.64
234,Poso,88,ID,1548287049,100,-1.4,120.75,79.73,2.48
235,Ovalle,0,CL,1548287050,76,-30.6,-71.2,67.94,2.71
236,Parole,90,US,1548285780,80,38.98,-76.54,48.2,4.7
237,Quelimane,40,MZ,1548284400,94,-17.88,36.89,77.0,4.7
238,College,90,US,1548284280,87,64.86,-147.8,21.92,4.38
239,Bubaque,92,GW,1548287055,89,11.28,-15.83,79.46,11.65
240,Ponta Delgada,40,PT,1548284400,87,37.73,-25.67,59.0,6.93
241,Westport,88,IE,1548287057,99,53.8,-9.52,44.85,4.94
242,Pitimbu,0,BR,1548284400,74,-7.47,-34.81,80.6,9.17
243,Xam Nua,8,LA,1548287059,87,20.42,104.04,48.45,1.14
244,Olga,1,US,1548286500,13,34.11,-118.17,71.96,5.82
245,Leh,44,IN,1548287062,51,34.16,77.58,-20.09,1.36
246,Kruisfontein,0,ZA,1548287063,89,-34.0,24.73,63.17,11.43
247,Thessalon,90,CA,1548286500,93,46.26,-83.55,24.26,4.7
248,Harper,1,US,1548286500,20,30.3,-99.24,53.96,9.17
249,Barsovo,40,RU,1548284400,84,61.17,73.17,1.4,4.47
250,Nong Khai,40,TH,1548284400,88,17.88,102.75,64.4,2.24
251,Lata,0,IN,1548287069,86,30.78,78.62,15.6,1.7
252,Athabasca,0,CA,1548287070,66,54.72,-113.29,1.79,6.85
253,Nanortalik,56,GL,1548287071,100,60.14,-45.24,26.27,16.69
254,Lompoc,1,US,1548284160,53,34.64,-120.46,68.0,11.41
255,Iranshahr,0,IR,1548287073,72,27.21,60.69,32.52,4.05
256,Puerto Colombia,0,CO,1548284400,69,10.99,-74.96,80.6,12.75
257,Grindavik,75,IS,1548286200,92,63.84,-22.43,28.4,4.7
258,Karasuk,68,RU,1548287077,82,53.73,78.03,9.98,10.76
259,Vostok,44,RU,1548287078,75,46.45,135.83,-1.05,2.71
260,Mehtar Lam,40,AF,1548284100,76,34.67,70.21,43.16,3.36
261,Namtsy,0,RU,1548284400,74,62.72,129.66,-23.81,3.15
262,Pasighat,12,IN,1548287082,74,28.06,95.33,50.25,1.92
263,Bell Ville,76,AR,1548287083,89,-32.63,-62.69,75.5,12.44
264,Fez,75,MA,1548284400,87,34.03,-5.02,50.0,18.34
265,Bitadton,88,PH,1548287085,100,11.5,122.09,76.8,15.57
266,Mayumba,92,GA,1548287086,100,-3.44,10.65,79.55,6.29
267,Kozhva,64,RU,1548287087,71,65.11,57.05,-5.78,8.41
268,Lobito,44,AO,1548287088,94,-12.35,13.55,66.0,2.37
269,Cayenne,75,GF,1548284400,78,4.94,-52.33,78.8,9.17
270,Dezful,0,IR,1548287091,80,32.38,48.4,36.75,3.04
271,Vikravandi,8,IN,1548287092,100,12.04,79.54,67.31,3.71
272,Minsk,0,BY,1548284400,92,53.9,27.56,8.6,6.71
273,Atambua,92,ID,1548287094,100,-9.11,124.89,75.45,10.42
274,Shakiso,0,ET,1548287095,68,5.77,38.9,51.42,3.04
275,Narasannapeta,0,IN,1548287097,96,18.42,84.04,49.58,2.71
276,Nador,0,MA,1548284400,67,35.17,-2.93,60.8,25.28
277,Blairmore,90,CA,1548285600,85,49.61,-114.44,28.4,16.11
278,Kamaishi,75,JP,1548284400,85,39.28,141.86,24.8,6.93
279,Vestmanna,92,FO,1548285600,86,62.16,-7.17,37.4,12.75
280,Utiel,20,ES,1548284400,44,39.57,-1.21,60.8,3.36
281,Tual,92,ID,1548287106,100,-5.67,132.75,82.47,16.46
282,Tsabong,0,BW,1548287108,17,-26.02,22.4,80.81,13.44
283,Chimbote,20,PE,1548287109,82,-9.08,-78.59,73.52,7.18
284,Itupiranga,20,BR,1548284400,100,-5.13,-49.33,78.8,2.24
285,Kailua,40,US,1548284220,76,21.39,-157.74,82.04,9.17
286,Akureyri,40,IS,1548284400,85,65.68,-18.09,19.4,3.36
287,Rawson,0,AR,1548287113,17,-43.3,-65.11,82.07,13.0
288,Honavar,12,IN,1548287115,100,14.28,74.45,70.73,6.06
289,Yichang,20,CN,1548287116,79,30.77,111.32,31.35,1.25
290,Pueblo,1,US,1548286200,33,38.25,-104.61,46.4,8.05
291,Iralaya,20,HN,1548284400,69,15.0,-83.23,82.4,5.82
292,Yarada,0,IN,1548284400,93,17.65,83.27,60.8,2.24
293,Meulaboh,8,ID,1548287120,100,4.14,96.13,78.2,4.16
294,Chernyshevskiy,64,RU,1548287121,68,63.01,112.47,-9.74,5.39
295,Phaltan,0,IN,1548287123,87,17.99,74.43,54.17,3.04
296,Nelson Bay,90,AU,1548284400,78,-32.72,152.14,77.0,9.17
297,Abadiania,40,BR,1548284400,53,-16.2,-48.71,77.0,5.82
298,Omsukchan,36,RU,1548287126,71,62.53,155.8,-12.08,2.59
299,Limbach-Oberfrohna,32,DE,1548285600,92,50.86,12.75,15.8,2.24
300,Heyang,92,CN,1548287128,96,26.1,107.47,41.75,2.71
301,Takoradi,24,GH,1548287129,100,4.89,-1.75,81.89,8.97
302,Sunndalsora,24,NO,1548285600,68,62.68,8.55,28.4,12.75
303,Halifax,90,CA,1548284400,86,44.65,-63.58,30.2,10.29
304,Tiarei,20,PF,1548286200,59,-17.53,-149.33,91.4,3.36
305,Port Lincoln,12,AU,1548287134,47,-34.72,135.86,89.81,17.58
306,Newport,44,GB,1548285600,95,51.59,-3.0,37.4,3.36
307,Amberley,0,NZ,1548286200,42,-43.15,172.73,62.6,3.36
308,Kalmunai,80,LK,1548287138,100,7.42,81.82,73.07,5.61
309,Trinidad,48,UY,1548287139,58,-33.52,-56.9,78.11,11.77
310,Limbdi,0,IN,1548287140,66,22.57,71.81,55.61,8.97
311,Bambous Virieux,75,MU,1548284400,88,-20.34,57.76,77.0,3.36
312,Cockburn Town,68,TC,1548286937,100,21.46,-71.14,77.79,30.11
313,Alekseyevskoye,88,RU,1548287144,93,45.2,43.58,27.26,11.43
314,Anzio,20,IT,1548285600,70,41.45,12.63,44.6,13.87
315,Wukari,20,NG,1548287146,64,7.87,9.78,83.1,14.45
316,Noumea,90,NC,1548286200,51,-22.28,166.46,86.0,9.17
317,Bay-Khaak,0,RU,1548287148,52,51.16,94.47,-20.9,2.04
318,Arawa,0,NG,1548287150,86,7.05,3.9,77.3,4.05
319,Deputatskiy,32,RU,1548287151,0,69.3,139.9,-41.24,1.36
320,Estrela,20,BR,1548287152,91,-29.5,-51.96,76.17,2.15
321,Kedrovyy,40,RU,1548284400,83,56.17,91.82,-4.01,2.15
322,Omboue,88,GA,1548287154,100,-1.57,9.26,81.75,7.07
323,Klaksvik,92,FO,1548285600,86,62.23,-6.59,37.4,12.75
324,Angoram,76,PG,1548287157,88,-4.06,144.07,80.94,2.93
325,Savannah Bight,20,HN,1548284400,69,16.45,-85.85,80.6,5.82
326,Jozefow,75,PL,1548286200,73,52.14,21.24,23.0,11.41
327,Banda Aceh,8,ID,1548287160,95,5.56,95.32,74.33,5.39
328,Baoqing,64,CN,1548287162,69,46.32,132.2,9.57,7.96
329,Verkhnyaya Inta,68,RU,1548287163,73,65.99,60.32,-6.5,2.82
330,Severodvinsk,90,RU,1548284400,84,64.56,39.82,-2.21,2.24
331,Preston,75,GB,1548285600,100,53.76,-2.71,32.0,4.61
332,Saint-Augustin,90,FR,1548284400,92,44.83,-0.61,42.8,8.05
333,Bud,88,NO,1548285600,85,62.91,6.91,33.8,9.17
334,Madimba,92,CM,1548287169,92,4.42,9.93,76.49,6.17
335,Saskylakh,44,RU,1548287170,67,71.97,114.09,-35.39,3.27
336,Baglung,0,NP,1548287171,84,28.27,83.59,29.96,2.82
337,Kemin,0,KG,1548287172,84,42.79,75.7,7.37,3.6
338,Letka,0,BA,1548284400,93,43.74,17.27,37.4,3.36
339,Stepantsevo,64,RU,1548287175,82,56.13,41.7,3.68,11.43
340,Tiksi,8,RU,1548287176,0,71.64,128.87,-39.71,7.74
341,Ewa Beach,1,US,1548284220,60,21.32,-158.01,82.04,8.05
342,Camacha,75,PT,1548284400,67,33.08,-16.33,59.0,9.17
343,Tilichiki,0,RU,1548287180,70,60.47,166.1,6.69,16.02
344,Chuy,80,UY,1548286947,89,-33.69,-53.46,70.73,13.0
345,Gayny,44,RU,1548287182,82,60.3,54.33,-5.1,6.51
346,High Level,5,CA,1548284400,69,58.52,-117.13,-7.61,8.05
347,Manokwari,80,ID,1548287184,100,-0.87,134.08,82.02,1.25
348,Lorengau,48,PG,1548287185,100,-2.02,147.27,80.4,4.5
349,Ahipara,92,NZ,1548287187,78,-35.17,173.16,73.29,14.0
350,Verkhoyansk,0,RU,1548287188,0,67.55,133.39,-54.29,2.37
351,Assare,76,BR,1548287189,87,-6.87,-39.88,73.43,3.6
352,Provideniya,90,RU,1548284400,92,64.42,-173.23,15.8,26.84
353,Saint George,75,GR,1548283800,100,39.45,22.34,51.8,5.82
354,Puerto Escondido,5,MX,1548283500,70,15.86,-97.07,84.2,9.17
355,Port-Gentil,20,GA,1548287193,98,-0.72,8.78,80.63,8.97
356,Bazarnyye Mataki,48,RU,1548287195,84,54.9,49.93,3.32,8.75
357,Agadez,0,NE,1548287196,52,16.97,7.99,51.6,4.83
358,Kifri,0,IQ,1548287197,71,34.69,44.96,29.82,4.5
359,Bull Savanna,80,JM,1548287199,77,17.89,-77.59,74.06,10.87
360,Taseyevo,0,RU,1548287200,65,57.22,94.9,3.14,2.48
361,Chute-aux-Outardes,90,CA,1548284400,85,49.12,-68.38,17.6,1.59
362,Kununurra,56,AU,1548284400,83,-15.77,128.74,82.4,4.7
363,Arlit,0,NE,1548287203,40,18.74,7.39,48.0,3.6
364,Zarinsk,76,RU,1548287204,88,53.71,84.95,13.13,2.59
365,Taoudenni,0,ML,1548287205,45,22.68,-3.98,40.44,5.95
366,Kochi,8,IN,1548284400,83,9.96,76.25,73.4,3.27
367,Aklavik,75,CA,1548284400,74,68.22,-135.01,-9.41,6.93
368,Igarapava,20,BR,1548284400,61,-20.04,-47.75,80.6,6.93
369,Maragogi,92,BR,1548287190,98,-9.01,-35.22,75.14,6.51
370,Longyan,0,CN,1548287211,83,25.1,117.03,33.87,1.92
371,Muyezerskiy,0,RU,1548287212,68,63.93,31.65,-1.55,5.95
372,Banyo,12,CM,1548287214,53,6.75,11.81,64.02,4.61
373,Namibe,36,AO,1548287215,100,-15.19,12.15,74.78,6.4
